News_headlines,Link
"Despite the trade war, this company will be the first US business to export rice to China",https://www.cnn.com/2019/07/31/success/sun-valley-rice-china-export/index.html
How to photograph a dinosaur,https://www.cnn.com/style/article/christian-voigt-dinosaur-skeletons/index.html
Scientists worry about new NIH requirements for research using human fetal tissue,https://www.cnn.com/2019/07/30/health/nih-fetal-tissue-research-funding-requirements/index.html
Trial underway in US uses CRISPR gene-editing in people with severe sickle cell disease,https://www.cnn.com/2019/07/30/health/crispr-trial-sickle-cell/index.html
What's in a moon's name?,https://www.cnn.com/videos/weather/2016/09/29/what-is-a-black-moon-orig-jpm.cnn
Mars Exploration Fast Facts,https://www.cnn.com/2013/10/21/world/mars-exploration-fast-facts/index.html
Look up for the Perseid meteor shower before it peaks during the full moon,https://www.cnn.com/2019/07/29/world/perseid-meteor-shower-2019-scn-trnd/index.html
European heat wave threatens to accelerate Greenland ice melt,https://www.cnn.com/2019/07/30/world/greenland-ice-melt-climate-heat-wave-sci-intl/index.html
Police exhume body of a woman found more than 30 years ago. They're trying to identify her with DNA technology,https://www.cnn.com/2019/07/30/us/miss-molly-body-kansas-cold-case/index.html
"From Fox to the Sun, battle over Baltimore rages in the wake of Trump's tweets",https://www.cnn.com/2019/07/30/media/baltimore-donald-trump-tweets-reliable-sources/index.html
This Apollo 11 experiment is still happening on the moon,https://www.cnn.com/2019/07/29/world/apollo-moon-experiment-scn-trnd/index.html
"As of today, humans have used more resources than Planet Earth can regenerate in a year",https://www.cnn.com/2019/07/29/us/earth-overshoot-day-trnd/index.html
NASA fed some of its precious Apollo 11 lunar samples to cockroaches,https://www.cnn.com/2019/07/29/us/nasa-lunar-samples-testing-scn-trnd/index.html
Planet-hunting satellite TESS finds 'missing link' exoplanets,https://www.cnn.com/2019/07/29/world/tess-new-exoplanets-scn/index.html
The Delta Aquariid meteor shower peaks this week,https://www.cnn.com/2019/07/27/world/delta-aquariids-meteor-shower-scn-trnd/index.html
200 reindeer died on an Arctic Island -- and researchers think climate change is to blame,https://www.cnn.com/2019/07/29/europe/norway-reindeer-dead-intl-hnk-scli/index.html
See the Baltimore Sun's scathing response to Trump,https://www.cnn.com/videos/media/2019/07/28/baltimore-sun-response-trump-cummings-attack-rs-vpx.cnn
Ancient Roman pen with an inscribed joke found under streets of London,https://www.cnn.com/2019/07/28/uk/roman-stylus-london-scli-gbr-intl/index.html
FBI finds donation center misused bodies ,https://www.cnn.com/videos/us/2019/07/28/arizona-lawsuit-body-parts-company-sued-vpx.kpho-ktvk
Where does astronaut poop go? Answers to your weirdest questions about space travel,https://www.cnn.com/2019/07/27/world/space-travel-questions-scn-trnd/index.html
This college dropout was bedridden for 11 years. Then he invented a surgery and cured himself,https://www.cnn.com/2019/07/27/health/doug-lindsay-invented-surgery-trnd/index.html
"Alabama moves to protect the Clotilda, believed to be the last ship to bring slaves to the US",https://www.cnn.com/2019/07/26/us/clotilda-slave-ship-admiralty-claim/index.html
SpaceX's massive Starship prototype lifts off ,https://www.cnn.com/2019/07/26/tech/spacex-starship-starhopper-test-flight/index.html
"Falcon 9, en camino a la Estación Espacial Internacional",https://www.cnn.com/videos/spanish/2019/07/26/falcon-9-camino-estacion-espacial-internacional-vo-encuentro-cnnee.cnn
"Con éxito, se despliega la vela solar Lightsail 2 en el espacio",https://www.cnn.com/videos/spanish/2019/07/26/lightsail-2-vela-solar-despliegue-espacio-satelite-orbita-nave-capsula-espacial-lightsail-2-portafolio-global-cnnee.cnn
This Star Wars-inspired prosthetic is helping amputees feel again,https://www.cnn.com/videos/business/2019/07/26/luke-skywalker-prosthetic-arm-orig.cnn-business
Massive dinosaur bone found in France,https://www.cnn.com/videos/world/2019/07/26/sauropod-femur-bone-found-france-orig-llr.cnn
Kamala Harris proposes $74.5 billion for black higher education and businesses,https://www.cnn.com/2019/07/26/politics/kamala-harris-black-higher-education-business/index.html
El original homenaje a los astronautas del Apollo 11: Una estatua de mantequilla,https://www.cnn.com/videos/spanish/2019/07/26/astronautas-apollo-11-estatua-manteca-pkg-digital-original.cnn
