News_headlines,Link
"Hamza bin Laden, the son of Osama bin Laden, is dead: report",https://nypost.com/2019/07/31/hamza-bin-laden-the-son-of-osama-bin-laden-is-dead-report/
AOC says Palestinians have 'no choice but to riot' – and Americans could do the same,https://nypost.com/2019/07/31/aoc-says-palestinians-have-no-choice-but-to-riot-and-americans-could-do-the-same/
Baltimore schools' mission: Help students cope with trauma,https://nypost.com/2019/07/31/baltimore-schools-mission-help-students-cope-with-trauma/
Trump calls CNN host Don Lemon 'the dumbest man on television',https://nypost.com/2019/07/31/trump-calls-cnns-don-lemon-the-dumbest-man-on-television/
Bob Menendez rips Trump's UN ambassador pick,https://nypost.com/2019/07/31/bob-menendez-rips-trumps-un-ambassador-pick/
Assault charge dropped against black boy who beaned white classmate with ball,https://nypost.com/2019/07/31/assault-charge-dropped-against-black-boy-who-beaned-white-classmate-with-ball/
Woman learns shocking lesson after calling cop 'full of s--t',https://nypost.com/2019/07/31/oklahoma-woman-debra-hamil-sparks-wild-police-chase-after-resisting-arrest/
Jeffrey Epstein faces 'a million pages' of evidence: defense lawyer,https://nypost.com/2019/07/31/jeffrey-epstein-faces-1-million-pages-of-evidence-defense-lawyer/
Pro-Trump super PAC has already raised $17M to fuel reelection bid,https://nypost.com/2019/07/31/pro-trump-super-pac-has-already-raised-17-million/
Couple marries 23 years after they were born hours apart at same hospital,https://nypost.com/2019/07/31/couple-marries-23-years-after-they-were-born-hours-apart-at-same-hospital/
