News_headlines,Link
"How Phones Made the World Your Office, Like It or Not",https://www.nytimes.com/2019/07/31/business/how-phones-made-the-world-your-office-like-it-or-not.html
"A New Way to Fight Crop Diseases, With a Smartphone",https://www.nytimes.com/2019/07/30/science/tomato-potato-agriculture-blight.html
Fortnite Drew Imitators to Survival Games. Who Will Be the Last One Standing?,https://www.nytimes.com/2019/07/30/business/battle-royale-fortnite.html
Huawei’s Sales Jump Despite Trump’s Blacklisting,https://www.nytimes.com/2019/07/30/technology/huawei-trump.html
Your Next iPhone Might Be Made in Vietnam. Thank the Trade War.,https://www.nytimes.com/2019/07/30/technology/trump-trade-war-vietnam.html
"Toby Walsh, A.I. Expert, Is Racing to Stop the Killer Robots",https://www.nytimes.com/2019/07/30/science/autonomous-weapons-artificial-intelligence.html
Would You Want a Computer to Judge Your Risk of H.I.V. Infection?,https://www.nytimes.com/2019/07/30/health/hiv-aids-prep.html
Cuba Expands Internet Access to Private Homes and Businesses,https://www.nytimes.com/2019/07/29/world/americas/cuba-internet-technology.html
How Has Fortnite Affected Your Family?,https://www.nytimes.com/2019/07/29/reader-center/fortnite-video-game-families.html
Uber Lays Off 400 as Profitability Doubts Linger After I.P.O.,https://www.nytimes.com/2019/07/29/technology/uber-job-cuts.html
